"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.369079167E-1,1.190025330E-1,3.047662354E-1,9.793534241E0,9.798997754E0
6.469539167E-1,1.279838562E-1,3.559597778E-1,9.783505096E0,9.790815043E0
6.569989167E-1,1.285826111E-1,3.908372498E-1,9.777068481E0,9.785722014E0
6.670449167E-1,1.380130005E-1,4.032614136E-1,9.799372101E0,9.808637058E0
6.770899167E-1,1.324745178E-1,4.281097412E-1,9.788145447E0,9.798398784E0
6.871359167E-1,1.345701599E-1,4.174818420E-1,9.783355408E0,9.793183509E0
6.971809167E-1,1.089733887E-1,4.275109863E-1,9.788744202E0,9.798681232E0
7.072259167E-1,1.071771240E-1,4.068539429E-1,9.795330505E0,9.804362130E0
7.172719167E-1,1.152603149E-1,3.664379883E-1,9.784852295E0,9.792389707E0
7.273169167E-1,1.240919495E-1,3.426374817E-1,9.788145447E0,9.794926776E0
7.373629167E-1,1.213975525E-1,3.248245239E-1,9.797575836E0,9.803710553E0
7.474079167E-1,1.199006653E-1,3.207829285E-1,9.783954163E0,9.789945705E0
7.574539167E-1,1.065783691E-1,3.347039795E-1,9.793085175E0,9.799382784E0
7.674989167E-1,1.056802368E-1,3.405418396E-1,9.786349182E0,9.792842660E0
7.775439167E-1,1.080752563E-1,3.676354980E-1,9.776320038E0,9.783826941E0
7.875899167E-1,1.146615601E-1,3.908372498E-1,9.758058014E0,9.766555034E0
7.976349167E-1,1.179547119E-1,4.061054993E-1,9.801467743E0,9.810586369E0
8.076809167E-1,1.160087585E-1,4.318519592E-1,9.793683929E0,9.803886936E0
8.177259167E-1,1.266366577E-1,4.192781067E-1,9.782756653E0,9.792556290E0
8.277719167E-1,1.420545959E-1,4.123924255E-1,9.789642334E0,9.799354267E0
8.378169167E-1,1.320254517E-1,3.932322693E-1,9.781110077E0,9.789901770E0
8.478629167E-1,1.306782532E-1,3.713777161E-1,9.790540466E0,9.798452982E0
8.579079167E-1,1.266366577E-1,3.367996216E-1,9.800419922E0,9.807023069E0
8.679529167E-1,1.272354126E-1,3.228785706E-1,9.784403229E0,9.790555958E0
8.779989167E-1,1.110690308E-1,3.231779480E-1,9.775272217E0,9.781243644E0
8.880439167E-1,1.088237000E-1,3.129991150E-1,9.792486420E0,9.798091718E0
8.980899167E-1,9.580078125E-2,3.433859253E-1,9.783804474E0,9.790297323E0
9.081344167E-1,8.202941895E-2,3.573069763E-1,9.791139221E0,9.798000018E0
9.181804167E-1,9.565109253E-2,3.854484558E-1,9.796228638E0,9.804275351E0
9.282254167E-1,1.044827271E-1,4.126918030E-1,9.790540466E0,9.799791518E0
9.382704167E-1,1.375639343E-1,4.156855774E-1,9.781259766E0,9.791055149E0
9.483164167E-1,1.511856079E-1,4.176315308E-1,9.784552917E0,9.794628578E0
9.583614167E-1,1.428030396E-1,4.240681458E-1,9.795929260E0,9.806143818E0
9.684074167E-1,1.410067749E-1,4.035607910E-1,9.777667236E0,9.787007756E0
9.784524167E-1,1.209484863E-1,4.017645264E-1,9.806856537E0,9.815827953E0
9.884984167E-1,1.043330383E-1,3.710783386E-1,9.787247314E0,9.794835094E0
9.985434167E-1,9.864486694E-2,3.390449524E-1,9.782307587E0,9.788678359E0
