"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.771844094688342E9,"2026-02-23 13:54:54.688 UTC+03:00"
"PAUSE",1.056975704166689E1,1.771844105257966E9,"2026-02-23 13:55:05.258 UTC+03:00"
