"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.771844212611774E9,"2026-02-23 13:56:52.612 UTC+03:00"
"PAUSE",3.337316566667141E1,1.771844245984528E9,"2026-02-23 13:57:25.985 UTC+03:00"
