"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.772548796443121E9,"2026-03-03 17:39:56.443 UTC+03:00"
"PAUSE",5.421080970833464E1,1.772548850654027E9,"2026-03-03 17:40:50.654 UTC+03:00"
