"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.180893710E-1,1.605000161E-2,-1.147950053E0,9.775050163E0,9.842238192E0
3.228828310E-1,1.905000024E-2,-1.174050093E0,9.778050423E0,9.848300696E0
3.276761380E-1,2.595000155E-2,-1.165050030E0,9.787050247E0,9.856184227E0
3.324705810E-1,2.595000155E-2,-1.159950018E0,9.760950089E0,9.829664495E0
3.372628910E-1,7.050000131E-3,-1.155000091E0,9.780000687E0,9.847968742E0
3.420563500E-1,1.950000064E-3,-1.165050030E0,9.772950172E0,9.842149178E0
3.468496580E-1,-1.950000064E-3,-1.165050030E0,9.769950867E0,9.839170967E0
3.516443500E-1,1.095000096E-2,-1.147950053E0,9.772950172E0,9.840145543E0
3.564364290E-1,1.950000064E-3,-1.153050065E0,9.763050079E0,9.830904084E0
3.612298890E-1,4.050000105E-3,-1.153050065E0,9.757950783E0,9.825840643E0
3.660231960E-1,-1.395000052E-2,-1.143000007E0,9.763050079E0,9.829740102E0
3.708178890E-1,-7.050000131E-3,-1.143000007E0,9.760950089E0,9.827646989E0
3.756100060E-1,-9.000000544E-3,-1.147950053E0,9.772950172E0,9.840143566E0
3.804034650E-1,-2.805000171E-2,-1.147950053E0,9.757950783E0,9.825282673E0
3.851967730E-1,-1.605000161E-2,-1.162050009E0,9.780000687E0,9.848808621E0
3.899914940E-1,-3.795000166E-2,-1.143000007E0,9.760950089E0,9.827717733E0
3.947835730E-1,-2.595000155E-2,-1.146000028E0,9.772950172E0,9.839946369E0
3.995770330E-1,-2.400000021E-2,-1.174050093E0,9.775050163E0,9.845332667E0
4.043703490E-1,-3.299999982E-2,-1.147950053E0,9.763050079E0,9.830362413E0
4.091650420E-1,-2.400000021E-2,-1.159950018E0,9.781949997E0,9.850512971E0
4.139573510E-1,-2.805000171E-2,-1.174050093E0,9.775050163E0,9.845343372E0
4.187506430E-1,-3.795000166E-2,-1.159950018E0,9.792000771E0,9.860537680E0
4.235438740E-1,-2.400000021E-2,-1.170000076E0,9.778050423E0,9.847829520E0
4.283385660E-1,-5.505000427E-2,-1.162050009E0,9.763050079E0,9.832117655E0
4.331308850E-1,-2.595000155E-2,-1.162050009E0,9.768000603E0,9.836913612E0
4.379241910E-1,-2.595000155E-2,-1.171950102E0,9.766050339E0,9.836151669E0
4.427176520E-1,-3.600000218E-2,-1.186050057E0,9.780000687E0,9.851721889E0
4.475121050E-1,-3.105000220E-2,-1.167000055E0,9.745950699E0,9.815620625E0
4.523044150E-1,-3.105000220E-2,-1.183950067E0,9.775050163E0,9.846537846E0
4.570977200E-1,-2.100000158E-2,-1.195950031E0,9.754050255E0,9.827117271E0
4.618911670E-1,-3.105000220E-2,-1.186050057E0,9.768000603E0,9.839792407E0
4.666857050E-1,-4.995000362E-2,-1.179000020E0,9.772950172E0,9.843936770E0
4.714779380E-1,-3.600000218E-2,-1.183950067E0,9.787050247E0,9.858467746E0
4.762712440E-1,-1.905000024E-2,-1.186050057E0,9.772950172E0,9.844675348E0
4.810647050E-1,-2.100000158E-2,-1.195950031E0,9.751049995E0,9.824139326E0
4.858592440E-1,-2.805000171E-2,-1.195950031E0,9.760950089E0,9.833983420E0
4.906514580E-1,-2.805000171E-2,-1.206000090E0,9.744000435E0,9.818389251E0
4.954447630E-1,-1.605000161E-2,-1.194000006E0,9.751049995E0,9.823892794E0
5.002382250E-1,-1.905000024E-2,-1.207950115E0,9.763050079E0,9.837512553E0
5.050327780E-1,-2.400000021E-2,-1.218000054E0,9.745950699E0,9.821794905E0
5.098250110E-1,-3.105000220E-2,-1.206000090E0,9.781949997E0,9.856061387E0
5.146183170E-1,9.000000544E-3,-1.206000090E0,9.763050079E0,9.837258971E0
5.194117740E-1,-1.605000161E-2,-1.219950080E0,9.775050163E0,9.850895467E0
5.242063130E-1,-1.950000064E-3,-1.218000054E0,9.756000519E0,9.831738100E0
5.289986220E-1,-9.000000544E-3,-1.219950080E0,9.768000603E0,9.843891252E0
5.337920770E-1,1.950000064E-3,-1.215000033E0,9.754050255E0,9.829431584E0
5.385853100E-1,-4.050000105E-3,-1.218000054E0,9.768000603E0,9.843646495E0
5.433798460E-1,7.050000131E-3,-1.239000082E0,9.757950783E0,9.836298815E0
5.481721560E-1,4.050000105E-3,-1.219950080E0,9.739050865E0,9.815162065E0
5.529656160E-1,-1.950000064E-3,-1.191000104E0,9.748950005E0,9.821431222E0
5.577588480E-1,7.050000131E-3,-1.213050008E0,9.748950005E0,9.824131830E0
5.625533940E-1,1.950000064E-3,-1.206000090E0,9.742050171E0,9.816413884E0
5.673457030E-1,2.595000155E-2,-1.219950080E0,9.757950783E0,9.833949109E0
5.721391630E-1,1.605000161E-2,-1.225050092E0,9.757950783E0,9.834561953E0
5.769324660E-1,2.295000106E-2,-1.219950080E0,9.756000519E0,9.832006460E0
5.817269270E-1,7.050000131E-3,-1.215000033E0,9.763050079E0,9.838364785E0
5.865192370E-1,1.905000024E-2,-1.207950115E0,9.760950089E0,9.835428461E0
5.913127310E-1,1.395000052E-2,-1.218000054E0,9.760950089E0,9.836659258E0
5.961060380E-1,9.000000544E-3,-1.213050008E0,9.766050339E0,9.841103116E0
6.009007310E-1,1.905000024E-2,-1.195950031E0,9.760950089E0,9.833961867E0
6.056927750E-1,2.100000158E-2,-1.227000117E0,9.769950867E0,9.846720785E0
6.104862350E-1,2.805000171E-2,-1.225050092E0,9.763050079E0,9.839648438E0
