"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.771843811162320E9,"2026-02-23 13:50:11.162 UTC+03:00"
"PAUSE",1.230151879166078E1,1.771843823463544E9,"2026-02-23 13:50:23.464 UTC+03:00"
