"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.772549717790265E9,"2026-03-03 17:55:17.790 UTC+03:00"
"PAUSE",4.630905091666682E1,1.772549764098751E9,"2026-03-03 17:56:04.099 UTC+03:00"
