"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.771845212205270E9,"2026-02-23 14:13:32.205 UTC+03:00"
"PAUSE",3.654544962500222E1,1.771845248750261E9,"2026-02-23 14:14:08.750 UTC+03:00"
