"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.775384167E-1,3.516650759E-5,3.381678089E-2,1.151849283E-3,3.383641032E-2
6.875844167E-1,1.999247586E-3,3.948736191E-2,5.946632009E-4,3.954241224E-2
6.976294167E-1,-3.243603278E-4,4.251085222E-2,-9.473069804E-4,4.252264287E-2
7.076744167E-1,-2.502067946E-5,4.299483448E-2,2.099348698E-3,4.304606467E-2
7.177204167E-1,-1.211608760E-4,3.846719489E-2,-3.859131830E-4,3.846932143E-2
7.277664167E-1,1.285520848E-3,3.490122408E-2,1.096934779E-3,3.494211316E-2
7.378124167E-1,-1.817328157E-3,2.824731730E-2,-4.658080870E-4,2.830954951E-2
7.478574167E-1,1.113479957E-3,2.195080370E-2,-9.016070981E-4,2.199751158E-2
7.579024167E-1,-1.191219548E-3,1.559623424E-2,-4.214391811E-4,1.564733643E-2
7.679484167E-1,5.915008951E-4,5.938517861E-3,-7.720711874E-4,6.017637544E-3
7.779934167E-1,-1.277029514E-5,1.291834749E-3,-1.299830619E-4,1.298420462E-3
7.880394167E-1,-7.794946432E-4,-4.963047337E-3,-6.638419582E-4,5.067557292E-3
7.980844167E-1,-1.287359511E-3,-1.119191572E-2,7.154091727E-4,1.128840477E-2
8.081294167E-1,-1.187490765E-3,-1.582116634E-2,-6.505245110E-4,1.587899936E-2
8.181754167E-1,-7.121164817E-4,-2.090034634E-2,-2.683608327E-4,2.091419624E-2
8.282204167E-1,5.787177943E-4,-2.124637924E-2,-1.147790113E-3,2.128522885E-2
8.382654167E-1,-4.918728955E-4,-2.083572000E-2,-5.142240552E-4,2.084786784E-2
8.483114167E-1,1.070337254E-3,-2.103158087E-2,5.832114257E-4,2.106687331E-2
8.583564167E-1,-9.693778120E-4,-1.868933067E-2,-2.570158103E-4,1.871621840E-2
8.684024167E-1,-3.914718982E-4,-1.596689969E-2,6.995387375E-4,1.598701006E-2
8.784474167E-1,-1.983928960E-4,-1.292290632E-2,-8.245883510E-4,1.295070706E-2
8.884924167E-1,-6.231670268E-4,-7.581257727E-3,1.156134531E-4,7.607704801E-3
8.985384167E-1,-7.539282087E-4,-3.384381998E-3,6.668877322E-4,3.530890610E-3
9.085834167E-1,-4.793554544E-4,-2.180837095E-3,3.350023180E-4,2.257888093E-3
9.186294167E-1,6.660702638E-4,1.535071526E-3,-8.450442692E-4,1.874618362E-3
9.286744167E-1,-7.280954160E-4,4.450073466E-3,-5.038385279E-4,4.537304271E-3
9.387194167E-1,-1.067800913E-4,4.759000614E-3,-8.090367774E-4,4.828460349E-3
9.487654167E-1,6.197302137E-4,6.877782755E-3,-4.675122909E-4,6.921454247E-3
9.588104167E-1,-1.115585444E-3,5.914251320E-3,-1.956035849E-4,6.021724032E-3
9.688554167E-1,-1.380835893E-3,9.205773473E-3,1.266384497E-4,9.309619235E-3
9.789014167E-1,-1.248743152E-3,6.822244730E-3,-2.182322089E-3,7.270826109E-3
9.889464167E-1,7.912386209E-4,4.251318518E-3,-1.813582261E-3,4.689226836E-3
9.989924167E-1,-6.972020492E-4,4.005242139E-3,-1.565375598E-3,4.356426982E-3
1.009037417E0,-4.175710492E-4,3.026763909E-3,-8.497289382E-4,3.171388435E-3
1.019082417E0,7.046849933E-4,1.839792822E-3,8.024694398E-5,1.971765234E-3
1.029128417E0,1.006801613E-4,-4.019392654E-4,4.389204551E-4,6.036081791E-4
1.039173417E0,-1.598150469E-3,-2.275207080E-3,-5.453837803E-4,2.833389427E-3
1.049219417E0,4.607401788E-4,-4.010577220E-3,6.792973727E-4,4.093709329E-3
1.059264417E0,-1.320381882E-3,-4.910725635E-3,9.812996723E-4,5.178955842E-3
1.069309417E0,-1.247944543E-3,-4.959611688E-3,8.940557018E-4,5.191767452E-3
1.079355417E0,4.732564557E-4,-5.467743147E-3,-2.287330572E-4,5.492950538E-3
1.089400417E0,-2.235802822E-5,-4.341197200E-3,2.936725505E-4,4.351176459E-3
1.099446417E0,-9.086581413E-4,-3.920949996E-3,6.926138885E-4,4.084020382E-3
1.109491417E0,-2.098025521E-3,-5.460374523E-3,-3.883093596E-4,5.862438501E-3
1.119536417E0,-2.631723182E-3,-5.135468673E-3,-7.811256219E-4,5.823157446E-3
1.129582417E0,-1.244482351E-3,-3.682417329E-3,5.659009330E-4,3.927999182E-3
1.139627417E0,-1.866064267E-3,-2.091711853E-3,1.084152143E-3,3.005468382E-3
1.149672417E0,-2.263560891E-4,-3.038851544E-3,7.982351817E-4,3.150084950E-3
1.159718417E0,-1.892696135E-3,-3.232729621E-3,-2.578120446E-3,4.547476717E-3
1.169763417E0,-1.776049845E-3,-2.474645153E-3,-8.320985362E-4,3.157627219E-3
1.179809417E0,-1.970615704E-4,-2.202470787E-3,-5.860225065E-4,2.287604251E-3
1.189854417E0,-4.335497506E-4,-9.839842096E-4,1.776651479E-4,1.089841831E-3
1.199899417E0,5.030839238E-4,-1.605832018E-3,1.883178484E-4,1.693296642E-3
1.209945417E0,-4.090489820E-4,-8.739088662E-4,-1.133195590E-3,1.488344725E-3
1.219990417E0,-3.848141059E-4,-1.967668999E-3,8.053192869E-4,2.160634708E-3
