"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.038442083E-1,-2.363584900E-1,-3.722758484E-1,9.908195801E0,9.918003764E0
6.138832083E-1,-2.589614868E-1,-3.668870544E-1,9.921518097E0,9.931676017E0
6.239212083E-1,-2.640509033E-1,-3.661386108E-1,9.920619965E0,9.930885199E0
6.339602083E-1,-2.740800476E-1,-3.513194275E-1,9.924362183E0,9.934360067E0
6.439982083E-1,-2.869532776E-1,-3.580554199E-1,9.904752960E0,9.915375791E0
6.540372083E-1,-2.878514099E-1,-3.707789612E-1,9.905202026E0,9.916317999E0
6.640762083E-1,-3.074606323E-1,-3.818559265E-1,9.891879730E0,9.904020930E0
6.741142083E-1,-3.008743286E-1,-3.917353821E-1,9.882599030E0,9.894935348E0
6.841532083E-1,-2.812651062E-1,-3.945794678E-1,9.881102142E0,9.892976426E0
6.941912083E-1,-2.761756897E-1,-4.014651489E-1,9.878108368E0,9.890119929E0
7.042302083E-1,-2.649490356E-1,-4.222718811E-1,9.864636383E0,9.877224433E0
7.142682083E-1,-2.541714478E-1,-4.101470947E-1,9.865833893E0,9.877626343E0
7.243072083E-1,-2.519261169E-1,-4.099974060E-1,9.879754944E0,9.891467151E0
7.343452083E-1,-2.582130432E-1,-3.805087280E-1,9.885143738E0,9.895833850E0
7.443842083E-1,-2.457888794E-1,-3.815565491E-1,9.899513855E0,9.909912822E0
7.544222083E-1,-2.606080627E-1,-3.746708679E-1,9.913734283E0,9.924234090E0
7.644612083E-1,-2.574645996E-1,-3.653901672E-1,9.926757202E0,9.936815715E0
7.745002083E-1,-2.628533936E-1,-3.546125793E-1,9.937684479E0,9.947482837E0
7.845382083E-1,-2.902464294E-1,-3.448828125E-1,9.931247864E0,9.941472289E0
7.945772083E-1,-2.978805542E-1,-3.531156921E-1,9.937534790E0,9.948267247E0
8.046152083E-1,-2.893482971E-1,-3.629951477E-1,9.917027435E0,9.927886032E0
8.146542083E-1,-2.857557678E-1,-3.685336304E-1,9.914333038E0,9.925294605E0
8.246922083E-1,-2.782713318E-1,-3.665876770E-1,9.890831909E0,9.901534089E0
8.347312083E-1,-2.751278687E-1,-4.105961609E-1,9.871671753E0,9.884037017E0
8.447692083E-1,-2.734812927E-1,-3.971241760E-1,9.885592804E0,9.897345337E0
8.548082083E-1,-2.562670898E-1,-4.076023865E-1,9.859846344E0,9.871594727E0
8.648472083E-1,-2.749781799E-1,-4.126918030E-1,9.858499146E0,9.870964134E0
8.748852083E-1,-2.661465454E-1,-4.061054993E-1,9.877359924E0,9.889286867E0
8.849242083E-1,-2.682421875E-1,-3.950285339E-1,9.880503387E0,9.892034604E0
8.949622083E-1,-2.622546387E-1,-3.812571716E-1,9.896370392E0,9.907183326E0
9.050012083E-1,-2.803669739E-1,-3.703298950E-1,9.915380859E0,9.926254453E0
9.150392083E-1,-2.748284912E-1,-3.541635132E-1,9.932295685E0,9.942407156E0
9.250782083E-1,-2.800675964E-1,-3.617976379E-1,9.927505646E0,9.938043255E0
9.351162083E-1,-2.826123047E-1,-3.685336304E-1,9.938582611E0,9.949427675E0
9.451552083E-1,-2.850073242E-1,-3.559597778E-1,9.924362183E0,9.934832725E0
9.551942083E-1,-2.770738220E-1,-3.583547974E-1,9.919272766E0,9.929610278E0
9.652322083E-1,-2.743794250E-1,-3.757186890E-1,9.915979614E0,9.926887746E0
9.752712083E-1,-2.630030823E-1,-3.772155762E-1,9.901010742E0,9.911683809E0
9.853092083E-1,-2.594105530E-1,-3.912863159E-1,9.890083466E0,9.901219610E0
9.953482083E-1,-2.597099304E-1,-4.008663940E-1,9.878258057E0,9.889799055E0
1.005386208E0,-2.604583740E-1,-4.056564331E-1,9.870923309E0,9.882688029E0
1.015425208E0,-2.647993469E-1,-4.131408691E-1,9.873018951E0,9.885206487E0
1.025463208E0,-2.662962341E-1,-3.915856934E-1,9.881251831E0,9.892592723E0
1.035502208E0,-2.679428101E-1,-3.924838257E-1,9.874665527E0,9.886094081E0
1.045541208E0,-2.811154175E-1,-3.902384949E-1,9.897567902E0,9.909246305E0
1.055579208E0,-2.950364685E-1,-3.667373657E-1,9.912836151E0,9.924004402E0
1.065618208E0,-2.851570129E-1,-3.721261597E-1,9.922715607E0,9.933784647E0
1.075656208E0,-2.887495422E-1,-3.543132019E-1,9.927206268E0,9.937723001E0
1.085695208E0,-2.760260010E-1,-3.652404785E-1,9.933193817E0,9.943738249E0
1.095733208E0,-2.839595032E-1,-3.582051086E-1,9.925559692E0,9.936079665E0
1.105772208E0,-2.793191528E-1,-3.697311401E-1,9.910740509E0,9.921567303E0
1.115810208E0,-2.615061951E-1,-3.731739807E-1,9.896969147E0,9.907453891E0
1.125849208E0,-2.522254944E-1,-3.829037476E-1,9.905800781E0,9.916406713E0
1.135888208E0,-2.582130432E-1,-3.799099731E-1,9.896071014E0,9.906726356E0
1.145926208E0,-2.631527710E-1,-3.884422302E-1,9.886191559E0,9.897318843E0
1.155965208E0,-2.646496582E-1,-3.954776001E-1,9.883497162E0,9.894946090E0
1.166003208E0,-2.556683350E-1,-3.842509460E-1,9.885293427E0,9.896061904E0
1.176042208E0,-2.942880249E-1,-3.932322693E-1,9.886940002E0,9.899132269E0
1.186080208E0,-2.845582581E-1,-3.921844482E-1,9.898915100E0,9.910766984E0
1.196119208E0,-2.906954956E-1,-3.823049927E-1,9.892029419E0,9.903681487E0
1.206157208E0,-2.805166626E-1,-3.826043701E-1,9.898765411E0,9.910127768E0
1.216196208E0,-2.881507874E-1,-3.791615295E-1,9.913434906E0,9.924867051E0
1.226235208E0,-2.749781799E-1,-3.718267822E-1,9.899214478E0,9.910010869E0
1.236273208E0,-2.884501648E-1,-3.755690002E-1,9.901759186E0,9.913076745E0
1.246312208E0,-2.643502808E-1,-3.776646423E-1,9.919871521E0,9.930577156E0
1.256350208E0,-2.680924988E-1,-3.715274048E-1,9.904453583E0,9.915044477E0
1.266389208E0,-2.580633545E-1,-3.888912964E-1,9.896819458E0,9.907818555E0
1.276427208E0,-2.498304749E-1,-3.815565491E-1,9.901310120E0,9.911808248E0
1.286466208E0,-2.408491516E-1,-3.692820740E-1,9.888436890E0,9.898260538E0
1.296504208E0,-2.478845215E-1,-3.811074829E-1,9.888586578E0,9.899031981E0
1.306543208E0,-2.528242493E-1,-3.864962769E-1,9.885592804E0,9.896375324E0
1.316581208E0,-2.715353394E-1,-3.879931641E-1,9.887389069E0,9.898723793E0
1.326620208E0,-2.668949890E-1,-3.695814514E-1,9.888885956E0,9.899388306E0
1.336659208E0,-2.883004761E-1,-3.755690002E-1,9.897567902E0,9.908885891E0
1.346697208E0,-2.878514099E-1,-3.727249146E-1,9.894274750E0,9.905476017E0
1.356736208E0,-2.936892700E-1,-3.820056152E-1,9.904154205E0,9.915868706E0
1.366774208E0,-2.875520325E-1,-3.835025024E-1,9.900561676E0,9.912158284E0
1.376813208E0,-2.863545227E-1,-3.797602844E-1,9.912387085E0,9.923791337E0
1.386851208E0,-2.782713318E-1,-3.716770935E-1,9.893077240E0,9.903966684E0
1.396890083E0,-2.668949890E-1,-3.760180664E-1,9.889784088E0,9.900527856E0
1.406928083E0,-2.615061951E-1,-3.902384949E-1,9.886341248E0,9.897495382E0
1.416967083E0,-2.627037048E-1,-3.809577942E-1,9.877958679E0,9.888792128E0
1.427006083E0,-2.543211365E-1,-3.811074829E-1,9.896669769E0,9.907269789E0
1.437044083E0,-2.505789185E-1,-3.793112183E-1,9.902956696E0,9.913385804E0
1.447083083E0,-2.659968567E-1,-3.794609070E-1,9.895172882E0,9.906017932E0
1.457121083E0,-2.607577515E-1,-3.788621521E-1,9.894873505E0,9.905556663E0
1.467160083E0,-2.579136658E-1,-3.745211792E-1,9.896071014E0,9.906513367E0
1.477198083E0,-2.665956116E-1,-3.781137085E-1,9.909842377E0,9.920636024E0
1.487237083E0,-2.912942505E-1,-3.864962769E-1,9.908644867E0,9.920457389E0
1.497275083E0,-2.797682190E-1,-3.754193115E-1,9.910590820E0,9.921644033E0
1.507314083E0,-2.874023438E-1,-3.872447205E-1,9.900112610E0,9.911850900E0
1.517352083E0,-2.890489197E-1,-3.820056152E-1,9.906249847E0,9.917825548E0
1.527391083E0,-2.721340942E-1,-3.749702454E-1,9.904752960E0,9.915583233E0
1.537430083E0,-2.526745605E-1,-3.794609070E-1,9.890532532E0,9.901033723E0
1.547468083E0,-2.622546387E-1,-3.941304016E-1,9.895472260E0,9.906789970E0
1.557507083E0,-2.692900085E-1,-3.779640198E-1,9.898915100E0,9.909787791E0
1.567545083E0,-2.601589966E-1,-3.852987671E-1,9.896969147E0,9.907882525E0
1.577584083E0,-2.520758057E-1,-3.869453430E-1,9.886191559E0,9.896971883E0
1.587622083E0,-2.495310974E-1,-3.852987671E-1,9.893975372E0,9.904618598E0
1.597661083E0,-2.562670898E-1,-3.787124634E-1,9.903705139E0,9.914255970E0
1.607699083E0,-2.564167786E-1,-3.752696228E-1,9.903106384E0,9.913530799E0
1.617738083E0,-2.656974792E-1,-3.733236694E-1,9.903106384E0,9.913701719E0
1.627777083E0,-2.671943665E-1,-3.671864319E-1,9.906100159E0,9.916503369E0
1.637815083E0,-2.688409424E-1,-3.721261597E-1,9.911039886E0,9.921666441E0
1.647854083E0,-2.773731995E-1,-3.685336304E-1,9.912087708E0,9.922813898E0
1.657892083E0,-2.859054565E-1,-3.844006348E-1,9.901759186E0,9.913341553E0
1.667931083E0,-2.803669739E-1,-3.918850708E-1,9.894873505E0,9.906598873E0
1.677969083E0,-2.748284912E-1,-3.888912964E-1,9.882748718E0,9.894214945E0
1.688008083E0,-2.565664673E-1,-3.891906738E-1,9.897118835E0,9.908090481E0
1.698046083E0,-2.677931213E-1,-3.932322693E-1,9.886490936E0,9.897931491E0
1.708085083E0,-2.574645996E-1,-3.996688843E-1,9.892927551E0,9.904344439E0
1.718123083E0,-2.673440552E-1,-3.869453430E-1,9.883946228E0,9.895129740E0
1.728162083E0,-2.555186462E-1,-3.778143311E-1,9.888137512E0,9.898651267E0
1.738201083E0,-2.598596191E-1,-3.948788452E-1,9.898316345E0,9.909597509E0
1.748239083E0,-2.523751831E-1,-3.745211792E-1,9.914782104E0,9.925062394E0
1.758278083E0,-2.733316040E-1,-3.718267822E-1,9.900561676E0,9.911311055E0
1.768316083E0,-2.713856506E-1,-3.664379883E-1,9.926457825E0,9.936925677E0
1.778355083E0,-2.785707092E-1,-3.677851868E-1,9.914333038E0,9.925062578E0
1.788393083E0,-2.697390747E-1,-3.698808289E-1,9.909992065E0,9.920560152E0
1.798432083E0,-2.758763123E-1,-3.745211792E-1,9.898466034E0,9.909389672E0
1.808470083E0,-2.856060791E-1,-3.767665100E-1,9.893526306E0,9.904816334E0
1.818509083E0,-2.775228882E-1,-3.808081055E-1,9.900112610E0,9.911319965E0
1.828548083E0,-2.603086853E-1,-3.897894287E-1,9.887987823E0,9.899090848E0
1.838586083E0,-2.615061951E-1,-3.884422302E-1,9.874515839E0,9.885612571E0
1.848625083E0,-2.637515259E-1,-3.849993896E-1,9.890233154E0,9.901237359E0
1.858663083E0,-2.746788025E-1,-3.827540588E-1,9.897118835E0,9.908325305E0
1.868702083E0,-2.595602417E-1,-3.924838257E-1,9.891580353E0,9.902766126E0
1.878740083E0,-2.531236267E-1,-3.929328918E-1,9.890233154E0,9.901271619E0
1.888779083E0,-2.616558838E-1,-3.835025024E-1,9.910740509E0,9.921608509E0
1.898817083E0,-2.685415649E-1,-3.670367432E-1,9.917326813E0,9.927749073E0
1.908856083E0,-2.673440552E-1,-3.773652649E-1,9.911488953E0,9.922272454E0
