"event","experiment time","system time","system time text"
"START",0.000000000E0,1772548794.655,"2026-03-03 17:39:54.655 UTC+03:00"
"PAUSE",5.303111070E1,1772548847.686,"2026-03-03 17:40:47.686 UTC+03:00"
