"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.771843750901115E9,"2026-02-23 13:49:10.901 UTC+03:00"
"PAUSE",2.822308866666572E1,1.771843779123526E9,"2026-02-23 13:49:39.124 UTC+03:00"
