"event","experiment time","system time","system time text"
"START",0.000000000E0,1772547707.182,"2026-03-03 17:21:47.182 UTC+03:00"
"PAUSE",1.057115717E2,1772547812.893,"2026-03-03 17:23:32.893 UTC+03:00"
