"event","experiment time","system time","system time text"
"START",0.000000000E0,1772549716.009,"2026-03-03 17:55:16.009 UTC+03:00"
"PAUSE",4.601348400E1,1772549762.022,"2026-03-03 17:56:02.022 UTC+03:00"
