"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.770737917E-1,7.450685836E-3,-7.343551144E-3,-1.396587119E-3,1.055418961E-2
5.871137917E-1,7.243562490E-3,-7.359480485E-3,3.073266707E-4,1.033080831E-2
5.971527917E-1,5.468831398E-3,-5.427889526E-3,2.462889533E-3,8.089247580E-3
6.071917917E-1,5.059842020E-3,-5.396414548E-3,2.420304343E-3,7.783390287E-3
6.172307917E-1,5.816180259E-3,-5.264321342E-3,3.550549969E-3,8.610890609E-3
6.272697917E-1,3.007538384E-3,-5.637480877E-3,4.688227084E-3,7.925020565E-3
6.373087917E-1,3.424589289E-3,-6.799683906E-3,5.875197705E-3,9.616728191E-3
6.473477917E-1,3.431467339E-3,-7.777724415E-3,6.647677161E-3,1.079164384E-2
6.573867917E-1,4.478888586E-3,-5.641603842E-3,7.605882362E-3,1.047557079E-2
6.674267917E-1,3.788885428E-3,-6.961791776E-3,9.331529029E-3,1.224335050E-2
6.774657917E-1,5.160146393E-3,-6.585220806E-3,9.716621600E-3,1.282205051E-2
6.875047917E-1,4.796138965E-3,-7.900429890E-3,1.119185146E-2,1.451472633E-2
6.975437917E-1,5.603609607E-3,-6.678837352E-3,9.686632082E-3,1.303219667E-2
7.075827917E-1,5.897321273E-3,-8.850803599E-3,1.181768253E-2,1.589882835E-2
7.176217917E-1,5.816095043E-3,-6.411614828E-3,1.003283262E-2,1.325116963E-2
7.276607917E-1,6.247227546E-3,-8.042976260E-3,1.092657726E-2,1.493678044E-2
7.376997917E-1,7.457368076E-3,-9.388139471E-3,8.819751441E-3,1.488413642E-2
7.477397917E-1,8.233746514E-3,-9.094856679E-3,8.195528761E-3,1.475390427E-2
7.577787917E-1,6.304287352E-3,-9.015494958E-3,6.568070501E-3,1.281260077E-2
7.678177917E-1,1.125598419E-2,-1.008579787E-2,5.279482342E-3,1.600916714E-2
7.778567917E-1,9.793641977E-3,-8.206938393E-3,5.835550837E-3,1.404716749E-2
7.878957917E-1,1.096920762E-2,-9.431065992E-3,2.663297579E-3,1.470923776E-2
7.979347917E-1,1.138759032E-2,-8.780188859E-3,2.864898648E-3,1.466207945E-2
8.079737917E-1,1.179724466E-2,-8.436828852E-3,1.076784916E-3,1.454353906E-2
8.180127917E-1,1.239192858E-2,-1.063340344E-2,-3.866222687E-4,1.633335971E-2
8.280527917E-1,9.800647385E-3,-9.948891588E-3,-1.122640679E-3,1.401047662E-2
8.380917917E-1,1.295542810E-2,-8.070032112E-3,-3.148773685E-3,1.558471403E-2
8.481307917E-1,1.331629790E-2,-9.444253519E-3,-4.777736496E-3,1.701012876E-2
8.581697917E-1,1.422896329E-2,-7.793892175E-3,-6.686157547E-3,1.754744581E-2
8.682087917E-1,1.341679133E-2,-8.726809174E-3,-6.703525782E-3,1.735237004E-2
8.782477917E-1,1.306605339E-2,-7.461806759E-3,-8.592772298E-3,1.732732083E-2
8.882867917E-1,1.317826845E-2,-8.765985258E-3,-7.944082841E-3,1.770925490E-2
8.983267917E-1,1.473195665E-2,-7.523619570E-3,-7.592278533E-3,1.820104644E-2
9.083657917E-1,1.168751996E-2,-7.207228802E-3,-9.052283131E-3,1.644646162E-2
9.184047917E-1,1.255943906E-2,-7.585664280E-3,-7.123355754E-3,1.631024246E-2
9.284437917E-1,1.063021272E-2,-7.580246776E-3,-9.391048923E-3,1.608270387E-2
9.384827917E-1,1.007334515E-2,-5.838274024E-3,-8.993971162E-3,1.471221409E-2
9.485217917E-1,1.060127560E-2,-6.051868200E-3,-9.000953287E-3,1.516671728E-2
9.585607917E-1,9.574893862E-3,-6.222310476E-3,-1.108993776E-2,1.591799170E-2
9.685997917E-1,8.529152721E-3,-5.080859177E-3,-1.010471769E-2,1.416569432E-2
9.786397917E-1,7.958703674E-3,-5.239849910E-3,-1.040911674E-2,1.411193476E-2
9.886787917E-1,6.209768821E-3,-4.470604472E-3,-1.060833223E-2,1.307991766E-2
9.987177917E-1,6.786875892E-3,-4.386449233E-3,-9.376087226E-3,1.237794946E-2
1.008756792E0,6.009973120E-3,-4.907993600E-3,-8.630333468E-3,1.160563802E-2
1.018795792E0,4.095160402E-3,-3.644590266E-3,-9.145922028E-3,1.066307960E-2
1.028834792E0,3.037121147E-3,-4.921417683E-3,-7.726712152E-3,9.651245389E-3
1.038873792E0,3.139652777E-3,-4.168542102E-3,-7.785302121E-3,9.372571255E-3
1.048912792E0,4.314824939E-3,-3.473210149E-3,-6.098038517E-3,8.238141583E-3
1.058952792E0,2.262326656E-3,-3.285457380E-3,-5.343831144E-3,6.668499336E-3
1.068991792E0,2.416905947E-3,-3.167300485E-3,-3.743411275E-3,5.466841382E-3
1.079030792E0,2.979099285E-3,-3.358249553E-3,-4.681110382E-3,6.485805040E-3
1.089069792E0,2.516277134E-3,-2.835297026E-3,-2.381456085E-3,4.476817276E-3
1.099108792E0,3.528811038E-3,-3.033968620E-3,-1.539364457E-3,4.901746205E-3
1.109147792E0,2.824384952E-3,-3.049829975E-4,-1.164044254E-3,3.070042998E-3
1.119186792E0,5.462512374E-3,-1.293548383E-3,2.052788157E-3,5.977143805E-3
1.129225792E0,3.130563535E-3,-1.684503630E-3,2.710737288E-3,4.470579064E-3
1.139265792E0,5.726080388E-3,-2.876534127E-3,1.775967889E-3,6.649549393E-3
1.149304792E0,3.461293876E-3,-1.279329881E-3,3.959483001E-3,5.412462090E-3
1.159343792E0,4.278351553E-3,1.587774605E-4,1.686208416E-3,4.601391215E-3
1.169382792E0,5.058776587E-3,-1.362257637E-3,5.141521804E-3,7.340450456E-3
1.179421792E0,5.345333368E-3,-4.229610786E-4,4.732727073E-3,7.151936132E-3
1.189460792E0,4.452267662E-3,8.455608040E-4,4.909256939E-3,6.681202294E-3
1.199499792E0,5.602487363E-3,5.214540288E-4,4.781159107E-3,7.383715959E-3
1.209538792E0,5.053492729E-3,-4.523759708E-4,4.412983544E-3,6.724348038E-3
1.219578792E0,4.930987488E-3,3.843884915E-4,7.239928469E-3,8.768064573E-3
1.229617792E0,6.908107549E-3,-4.749828950E-4,5.186005495E-3,8.651139327E-3
1.239656792E0,7.704392076E-3,3.599179909E-4,5.285607651E-3,9.350125478E-3
1.249695792E0,4.708891734E-3,1.046951860E-3,6.671437528E-3,8.232730304E-3
1.259734792E0,5.448451731E-3,2.621679101E-3,4.359014798E-3,7.453847167E-3
1.269773792E0,5.434730556E-3,3.239148762E-3,6.613866426E-3,9.152683214E-3
1.279812792E0,4.645369481E-3,2.650856506E-3,5.057248287E-3,7.360859873E-3
1.289851792E0,1.894660061E-3,3.789674956E-3,6.596577354E-3,7.840038636E-3
1.299892708E0,3.940500319E-3,2.877009567E-3,7.041059434E-3,8.566285354E-3
1.309931708E0,2.619817853E-3,4.237678833E-3,5.429930054E-3,7.369227087E-3
1.319970708E0,3.106377553E-3,2.341508400E-3,6.337534636E-3,7.436167585E-3
1.330009708E0,1.802792307E-3,2.280164510E-3,5.644324236E-3,6.348827165E-3
1.340048708E0,8.781427750E-4,4.266882781E-3,5.974556319E-3,7.394102151E-3
1.350087708E0,-4.506934783E-4,4.864783026E-3,7.560051978E-3,9.001312371E-3
1.360126708E0,-2.962301369E-4,4.018430132E-3,5.646304227E-3,6.936590261E-3
1.370166708E0,-1.583428239E-3,4.251733422E-3,3.482011147E-3,5.719168096E-3
1.380205708E0,-2.832983388E-3,4.857868887E-3,3.231940325E-3,6.486148570E-3
1.390244708E0,-4.765278194E-3,6.143913604E-3,2.373816911E-3,8.129609915E-3
1.400283708E0,-4.975401796E-3,4.378770478E-3,5.495515652E-4,6.650583498E-3
1.410322708E0,-6.157812197E-3,6.271890365E-3,6.965645589E-4,8.817055176E-3
1.420361708E0,-6.378854625E-3,6.564837880E-3,-2.069394570E-3,9.384523249E-3
1.430400708E0,-6.241053808E-3,4.978586920E-3,-1.999225002E-3,8.230065672E-3
1.440439708E0,-6.212824490E-3,5.875006784E-3,-4.545207135E-3,9.683687353E-3
1.450479708E0,-6.655449979E-3,7.401574869E-3,-5.531196017E-3,1.138738136E-2
1.460518708E0,-7.191011682E-3,5.769855808E-3,-6.649723742E-3,1.136752880E-2
1.470557708E0,-7.666908205E-3,6.105087698E-3,-6.930067204E-3,1.200330824E-2
1.480596708E0,-7.942278869E-3,6.938656792E-3,-6.498901173E-3,1.238791622E-2
1.490635708E0,-8.292346261E-3,6.467394531E-3,-7.866389118E-3,1.313279393E-2
1.500674708E0,-8.954407647E-3,5.428229459E-3,-8.815806359E-3,1.368815302E-2
1.510713708E0,-8.494316600E-3,6.005940493E-3,-6.249345839E-3,1.213585840E-2
1.520752708E0,-8.112419397E-3,5.914860405E-3,-7.792381570E-3,1.270897842E-2
1.530792708E0,-7.225011010E-3,7.338967640E-3,-8.607743308E-3,1.342216357E-2
1.540831708E0,-8.907862939E-3,6.105924025E-3,-7.528098300E-3,1.316452029E-2
1.550870708E0,-7.784655318E-3,7.056476548E-3,-1.064172760E-2,1.495463426E-2
1.560909708E0,-7.731658407E-3,6.331031676E-3,-7.741811220E-3,1.264104999E-2
1.570948708E0,-7.464742288E-3,5.860252306E-3,-7.959634066E-3,1.238631135E-2
1.580987708E0,-7.915348746E-3,6.139617413E-3,-6.853357889E-3,1.213738696E-2
1.591026708E0,-6.434885785E-3,6.106297486E-3,-7.648217957E-3,1.171280760E-2
1.601065708E0,-7.815468125E-3,6.264222786E-3,-7.444752380E-3,1.247983843E-2
1.611105708E0,-6.809419021E-3,7.024565712E-3,-5.483809393E-3,1.121538570E-2
1.621144708E0,-6.774798036E-3,4.890042357E-3,-5.490466952E-3,9.997781255E-3
1.631183708E0,-6.567371543E-3,6.020128727E-3,-4.312561825E-3,9.898005272E-3
1.641222708E0,-7.605472114E-3,5.328239407E-3,-4.991667811E-3,1.054277425E-2
1.651261708E0,-6.188566331E-3,4.130026791E-3,-2.037124243E-3,7.713971072E-3
1.661300708E0,-7.113482337E-3,5.689308047E-3,-3.702514805E-4,9.116300959E-3
1.671339708E0,-5.522765219E-3,5.352919921E-3,-1.624507131E-3,7.860897580E-3
1.681378708E0,-6.147276610E-3,4.344114568E-3,1.454106998E-3,7.666470391E-3
1.691418708E0,-6.567175500E-3,5.185161252E-3,6.283759139E-4,8.390980130E-3
1.701457708E0,-7.227106951E-3,4.199258983E-3,1.510681584E-3,8.493939589E-3
1.711496708E0,-6.016700529E-3,4.168100189E-3,3.049189691E-3,7.929142590E-3
1.721535708E0,-8.354688995E-3,6.175324321E-3,3.966648132E-3,1.112069045E-2
1.731574708E0,-7.575008087E-3,5.407545250E-3,5.138496868E-3,1.063138952E-2
1.741613708E0,-9.236820973E-3,5.275718868E-3,4.747545347E-3,1.164865907E-2
1.751652708E0,-1.004406065E-2,7.014603820E-3,6.531852297E-3,1.388354837E-2
1.761692708E0,-9.990263730E-3,4.108562600E-3,6.671668030E-3,1.269633059E-2
1.771731708E0,-1.064858586E-2,3.850205336E-3,6.239796057E-3,1.292870901E-2
1.781770708E0,-1.038120408E-2,3.584688064E-3,5.833397619E-3,1.243575146E-2
1.791809708E0,-1.203253586E-2,3.726874478E-3,7.195547223E-3,1.450680573E-2
1.801848708E0,-1.173639204E-2,3.830471542E-3,7.443486713E-3,1.441599476E-2
1.811887708E0,-1.216760371E-2,2.519802190E-3,7.370679174E-3,1.444738366E-2
1.821926708E0,-1.288852189E-2,4.155515693E-3,6.178914104E-3,1.488493489E-2
1.831965708E0,-1.451677829E-2,4.517439287E-3,7.257228252E-3,1.684670506E-2
1.842005708E0,-1.470133476E-2,3.986138850E-3,6.882521790E-3,1.671489314E-2
1.852044708E0,-1.328379475E-2,3.814016934E-3,7.666625082E-3,1.580452683E-2
1.862083708E0,-1.332214475E-2,2.632106189E-3,4.794139415E-3,1.440108664E-2
1.872122708E0,-1.423210092E-2,3.829325549E-3,4.987322725E-3,1.555923580E-2
1.882161708E0,-1.300971024E-2,2.417051233E-3,4.298895597E-3,1.391313051E-2
1.892200708E0,-1.305721700E-2,8.681975305E-4,4.695937503E-3,1.390311159E-2
1.902239708E0,-1.154001430E-2,1.429059077E-3,3.567556385E-3,1.216312453E-2
